Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'6772396851272,title,fr,,,Black Active Comfort Pullover Hoodie,Black Active Comfort Pullover Hoodie
PRODUCT,'6772396851272,body_html,fr,,,"<p><span>The coverage and convenience of a hoodie, the performance of your favorite activewear. This breathable lightweight layer brings comfort to your busiest days (and not to mention, a perfect flattering fit for your arms and shoulders).</span></p>
<p><span> </span></p>
<p><strong>Features:</strong></p>
<ul>
<li>
<span> </span><span>Perfect fit.</span>
</li>
<li>
<span> </span><span>Ultra-soft.</span>
</li>
<li>
<span> </span><span>Quick dry and moisture-wicking.</span>
</li>
<li>
<span> </span><span>4-way stretch.</span>
</li>
<li>
<span> </span><span>UPF 50+ Sun Protection.</span>
</li>
<li>
<span> </span><span>Deep front hoodie pocket.</span>
</li>
<li>
<span> </span><span>Hood with adjustable drawcord.</span>
</li>
<li>
<span> </span><span>89% Polyester/ 11% Spandex.</span>
</li>
</ul>
<p><strong> Fit:</strong></p>
<ul>
<li>
<span> </span><span>Slim fit in arms and shoulders.</span>
</li>
<li>
<span> </span><span>Room through the body.</span>
</li>
<li>
<span> </span><span>Size up for looser fit.</span>
</li>
<li data-stringify-indent=""0"" data-stringify-border=""0"">Model is 6'2"" and wearing size M.</li>
</ul>
<ul data-mce-fragment=""1""></ul>","<p><span>La couverture et la commodité d'un sweat à capuche, la performance de vos vêtements de sport préférés. Cette couche légère et respirante apporte du confort lors de vos journées les plus chargées (et sans oublier une coupe parfaitement flatteuse pour vos bras et vos épaules).</span></p>

<p><span> </span></p>

<p><strong>Caractéristiques:</strong></p>

<ul>

<li>

<span> </span><span>Ajustement parfait.</span>

</li>

<li>

<span> </span><span>Ultra-doux.</span>

</li>

<li>

<span> </span><span>Séchage rapide et évacuation de l'humidité.</span>

</li>

<li>

<span> </span><span>Extensible dans 4 directions.</span>

</li>

<li>

<span> </span><span>Protection solaire UPF 50+.</span>

</li>

<li>

<span> </span><span>Poche profonde à capuche sur le devant.</span>

</li>

<li>

<span> </span><span>Capuche avec cordon de serrage réglable.</span>

</li>

<li>

<span> </span><span>89 % polyester/ 11 % élasthanne.</span>

</li>


</ul>

<p> <strong>Ajuster:</strong></p>

<ul>

<li>

<span> </span><span>Coupe ajustée au niveau des bras et des épaules.</span>

</li>

<li>

<span> </span><span>Espace à travers le corps.</span>

</li>

<li>

<span> </span><span>Taille au-dessus pour une coupe plus ample.</span>

</li>

<li data-stringify-indent=""0"" data-stringify-border=""0""> Le mannequin mesure 6'2"" et porte une taille M.</li>


</ul>

<ul data-mce-fragment=""1""></ul>"
PRODUCT,'6772396851272,handle,fr,,,black-active-comfort-pullover-hoodie,
PRODUCT,'6772396851272,meta_title,fr,,,Black Active Comfort Pullover Hoodie | Black Active Comfort Pullover Hoodie | True Classic,Sweat à capuche noir Active Comfort | Sweat à capuche noir Active Comfort | Un vrai classique
PRODUCT,'6772396851272,meta_description,fr,,,Our active comfort pullover hoodie is an essential for every closet. Check out our men's hoodie pullover today.,Notre sweat à capuche Active Comfort est un incontournable de chaque garde-robe. Découvrez notre pull à capuche pour hommes dès aujourd'hui.
PRODUCT,'6772397801544,title,fr,,,Heather Navy Active Comfort Pullover Hoodie,Heather Navy Active Comfort Pullover Hoodie
PRODUCT,'6772397801544,body_html,fr,,,"<p><span>The coverage and convenience of a hoodie, the performance of your favorite activewear. This breathable lightweight layer brings comfort to your busiest days (and not to mention, a perfect flattering fit for your arms and shoulders).</span></p>
<p><span> </span></p>
<p><strong>Features:</strong></p>
<ul>
<li>
<span></span><span>Perfect fit</span>
</li>
<li>
<span></span><span>Ultra-soft</span>
</li>
<li>
<span></span><span>Quick dry and moisture-wicking</span>
</li>
<li>
<span></span><span>4-way stretch</span>
</li>
<li>
<span></span><span>UPF 50+ Sun Protection</span>
</li>
<li>
<span></span><span>Deep front hoodie pocket</span>
</li>
<li>
<span></span><span>Hood with adjustable drawcord</span>
</li>
<li>
<span></span><span>89% Polyester/ 11% Spandex</span>
</li>
</ul>
<p><strong> Fit:</strong></p>
<ul>
<li>
<span></span><span>Slim fit in arms and shoulders</span>
</li>
<li>
<span></span><span>Room through the body</span>
</li>
<li>
<span></span><span>Size up for looser fit</span>
</li>
<li>Model is 6'2"" and wearing size L</li>
</ul>
<ul data-mce-fragment=""1""></ul>","<p> <span>La couverture et la commodité d'un sweat à capuche, la performance de vos vêtements de sport préférés. Cette couche légère et respirante apporte du confort lors de vos journées les plus chargées (et sans oublier une coupe parfaitement flatteuse pour vos bras et vos épaules).</span></p>

<p><span> </span></p>

<p><strong>Caractéristiques:</strong></p>

<ul>

<li>

<span></span> <span>Ajustement parfait</span>

</li>

<li>

<span></span> <span>Ultra-doux</span>

</li>

<li>

<span></span> <span>Séchage rapide et évacuation de l'humidité</span>

</li>

<li>

<span></span> <span>Étirement dans 4 directions</span>

</li>

<li>

<span></span> <span>Protection solaire UPF 50+</span>

</li>

<li>

<span></span> <span>Poche profonde à capuche sur le devant</span>

</li>

<li>

<span></span> <span>Capuche avec cordon de serrage réglable</span>

</li>

<li>

<span></span> <span>89 % polyester/ 11 % élasthanne</span>

</li>


</ul>

<p> <strong>Ajuster:</strong></p>

<ul>

<li>

<span></span> <span>Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li>

<span></span> <span>Espace à travers le corps</span>

</li>

<li>

<span></span> <span>Taille au-dessus pour une coupe plus ample</span>

</li>

<li> Le mannequin mesure 6'2"" et porte une taille L</li>


</ul>

<ul data-mce-fragment=""1""></ul>"
PRODUCT,'6772397801544,handle,fr,,,heather-navy-active-comfort-pullover-hoodie,
PRODUCT,'6772397801544,meta_title,fr,,,Heather Navy Active Comfort Pullover Hoodie | Heather Navy Active Comfort Pullover Hoodie | True Classic,Sweat à capuche Active Comfort Heather Navy | Sweat à capuche Active Comfort Heather Navy | Un vrai classique
PRODUCT,'6772397801544,meta_description,fr,,,Our active comfort pullover hoodie is an essential for every closet. Check out our men's hoodie pullover today.,Notre sweat à capuche Active Comfort est un incontournable de chaque garde-robe. Découvrez notre pull à capuche pour hommes dès aujourd'hui.
PRODUCT,'6772398194760,title,fr,,,Charcoal Heather Active Comfort Pullover Hoodie,Charcoal Heather Active Comfort Pullover Hoodie
PRODUCT,'6772398194760,body_html,fr,,,"<p><span>The coverage and convenience of a hoodie, the performance of your favorite activewear. This breathable lightweight layer brings comfort to your busiest days (and not to mention, a perfect flattering fit for your arms and shoulders).</span></p>
<p><span> </span></p>
<p><strong>Features:</strong></p>
<ul>
<li>
<span></span><span>Perfect fit</span>
</li>
<li>
<span></span><span>Ultra-soft</span>
</li>
<li>
<span></span><span>Quick dry and moisture-wicking</span>
</li>
<li>
<span></span><span>4-way stretch</span>
</li>
<li>
<span></span><span>UPF 50+ Sun Protection</span>
</li>
<li>
<span></span><span>Deep front hoodie pocket</span>
</li>
<li>
<span></span><span>Hood with adjustable drawcord</span>
</li>
<li>
<span></span><span>89% Polyester/ 11% Spandex</span>
</li>
</ul>
<p><strong> Fit:</strong></p>
<ul>
<li>
<span></span><span>Slim fit in arms and shoulders</span>
</li>
<li>
<span></span><span>Room through the body</span>
</li>
<li>
<span></span><span>Size up for looser fit</span>
</li>
<li><span>Model is 6'2"" and wearing size L</span></li>
</ul>
<ul data-mce-fragment=""1""></ul>","<p> <span>La couverture et la commodité d'un sweat à capuche, la performance de vos vêtements de sport préférés. Cette couche légère et respirante apporte du confort lors de vos journées les plus chargées (et sans oublier une coupe parfaitement flatteuse pour vos bras et vos épaules).</span></p>

<p><span> </span></p>

<p><strong>Caractéristiques:</strong></p>

<ul>

<li>

<span></span> <span>Ajustement parfait</span>

</li>

<li>

<span></span> <span>Ultra-doux</span>

</li>

<li>

<span></span> <span>Séchage rapide et évacuation de l'humidité</span>

</li>

<li>

<span></span> <span>Étirement dans 4 directions</span>

</li>

<li>

<span></span> <span>Protection solaire UPF 50+</span>

</li>

<li>

<span></span> <span>Poche profonde à capuche sur le devant</span>

</li>

<li>

<span></span> <span>Capuche avec cordon de serrage réglable</span>

</li>

<li>

<span></span> <span>89 % polyester/ 11 % élasthanne</span>

</li>


</ul>

<p> <strong>Ajuster:</strong></p>

<ul>

<li>

<span></span> <span>Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li> 
<span></span><span>Espace à travers le corps</span>

</li>

<li>

<span></span> <span>Taille au-dessus pour une coupe plus ample</span>

</li>

<li> <span>Le mannequin mesure 6'2"" et porte une taille L</span>
</li>


</ul>

<ul data-mce-fragment=""1""></ul>"
PRODUCT,'6772398194760,handle,fr,,,charcoal-heather-active-comfort-pullover-hoodie,
PRODUCT,'6772398194760,meta_title,fr,,,Charcoal Heather Active Comfort Pullover Hoodie | Charcoal Heather Active Comfort Pullover Hoodie | True Classic,Charbon de bois Heather Active Comfort Pull à capuche | Charbon de bois Heather Active Comfort Pull à capuche | Un vrai classique
PRODUCT,'6772398194760,meta_description,fr,,,Our active comfort pullover hoodie is an essential for every closet. Check out our men's hoodie pullover today.,Notre sweat à capuche Active Comfort est un incontournable de chaque garde-robe. Découvrez notre pull à capuche pour hommes dès aujourd'hui.
PRODUCT,'6772398620744,title,fr,,,Black Active Comfort Crew Sweatshirt,Black Active Comfort Crew Sweatshirt
PRODUCT,'6772398620744,body_html,fr,,,"<p><span>The no-fuss lightweight layer you always needed. With an easy-on crew neck, ultra-soft comfort fabric, and your favorite activewear features, it’s the ultimate throw-it-on-and-go pullover for any activity. And with a perfect fit in the arms and shoulders, you’ll look like you just hit a workout – no weights required.</span></p>
<p> </p>
<p><strong>Features:</strong></p>
<ul>
<li>Perfect fit.</li>
<li>Ultra-soft.</li>
<li>4-way stretch.</li>
<li>Quick dry and moisture-wicking.</li>
<li>UPF 50+ sun protection.</li>
<li>89% Polyester/ 11% Spandex.</li>
</ul>
<p><strong>Fit:</strong></p>
<ul>
<li>
<span> </span><span>Slim fit in arms and shoulders.</span>
</li>
<li>
<span> </span><span>Room through the body.</span>
</li>
<li>
<span> </span><span>Size up for looser fit.</span>
</li>
<li data-stringify-indent=""0"" data-stringify-border=""0"">Model is 6'2"" and wearing size L.</li>
</ul>
<ul data-mce-fragment=""1""></ul>","<p> <span>La couche légère et simple dont vous avez toujours eu besoin. Avec un col rond facile à enfiler, un tissu confortable ultra doux et vos caractéristiques de vêtements de sport préférées, c'est le pull ultime à enfiler et à emporter pour toute activité. Et avec un ajustement parfait au niveau des bras et des épaules, vous aurez l'impression de venir tout juste de vous entraîner – aucun poids n'est requis.</span></p>

<p></p>

<p> <strong>Caractéristiques:</strong></p>

<ul>

<li> Ajustement parfait.</li>

<li> Ultra-doux.</li>

<li> Extensible dans 4 directions.</li>

<li> Séchage rapide et évacuation de l'humidité.</li>

<li> Protection solaire UPF 50+.</li>

<li> 89 % polyester/ 11 % élasthanne.</li>


</ul>

<p> <strong>Ajuster:</strong></p>

<ul>

<li>

<span> </span><span>Coupe ajustée au niveau des bras et des épaules.</span>

</li>

<li>

<span> </span><span>Espace à travers le corps.</span>

</li>

<li> 
<span> </span><span>Taille au-dessus pour une coupe plus ample.</span>

</li>

<li data-stringify-indent=""0"" data-stringify-border=""0""> Le mannequin mesure 6'2"" et porte une taille L.</li>


</ul>

<ul data-mce-fragment=""1""></ul>"
PRODUCT,'6772398620744,handle,fr,,,black-active-comfort-crew-sweatshirt,
PRODUCT,'6772398620744,meta_title,fr,,,Black Active Comfort Crew Sweatshirt | Black Active Comfort Crew Sweatshirt | True Classic,Sweat-shirt noir Active Comfort Crew | Sweat-shirt noir Active Comfort Crew | Un vrai classique
PRODUCT,'6772398620744,meta_description,fr,,,Our active comfort crew sweatshirt is an essential for every closet. Check out our men's crew sweatshirt today.,Notre sweat-shirt Active Comfort Crew est un essentiel de chaque garde-robe. Découvrez notre sweat-shirt ras du cou pour hommes dès aujourd'hui.
PRODUCT,'6772399308872,title,fr,,,Heather Navy Active Comfort Crew Sweatshirt,Heather Navy Active Comfort Crew Sweatshirt
PRODUCT,'6772399308872,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">The no-fuss lightweight layer you always needed. With an easy-on crew neck, ultra-soft comfort fabric, and your favorite activewear features, it’s the ultimate throw-it-on-and-go pullover for any activity. And with a perfect fit in the arms and shoulders, you’ll look like you just hit a workout – no weights required.</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">4-way stretch</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Quick dry and moisture-wicking</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">UPF 50+ sun protection</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">89% Polyester/ 11% Spandex</span>
</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit in arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Room through the body</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Size up for looser fit</span>
</li>
<li>Model is 6'2"" and wearing size L</li>
</ul>","<p data-mce-fragment=""1""> <span data-mce-fragment=""1"">La couche légère et simple dont vous avez toujours eu besoin. Avec un col rond facile à enfiler, un tissu confortable ultra doux et vos caractéristiques de vêtements de sport préférées, c'est le pull ultime à enfiler et à emporter pour toute activité. Et avec un ajustement parfait au niveau des bras et des épaules, vous aurez l'impression de venir tout juste de vous entraîner – aucun poids n'est requis.</span></p>

<p data-mce-fragment=""1""></p>

<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Caractéristiques:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-doux</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Étirement dans 4 directions</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Séchage rapide et évacuation de l'humidité</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Protection solaire UPF 50+</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">89 % polyester/ 11 % élasthanne</span>

</li>


</ul>

<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Ajuster:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Espace à travers le corps</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Taille au-dessus pour une coupe plus ample</span>

</li>

<li> Le mannequin mesure 6'2"" et porte une taille L</li>


</ul>"
PRODUCT,'6772399308872,handle,fr,,,heather-navy-active-comfort-crew-sweatshirt,
PRODUCT,'6772399308872,meta_title,fr,,,Heather Navy Active Comfort Crew Sweatshirt | Heather Navy Active Comfort Crew Sweatshirt | True Classic,Sweat-shirt Active Comfort Crew bleu marine chiné | Sweat-shirt Active Comfort Crew bleu marine chiné | Un vrai classique
PRODUCT,'6772399308872,meta_description,fr,,,Our active comfort crew sweatshirt is an essential for every closet. Check out our men's crew sweatshirt today.,Notre sweat-shirt Active Comfort Crew est un essentiel de chaque garde-robe. Découvrez notre sweat-shirt ras du cou pour hommes dès aujourd'hui.
PRODUCT,'6772402028616,title,fr,,,Charcoal Heather Active Comfort Crew Sweatshirt,Charcoal Heather Active Comfort Crew Sweatshirt
